,yVal,xVal
1631,344,970
1632,344,971
1633,344,999
1634,345,968
1635,345,970
1636,345,997
1637,345,998
1638,346,969
1639,346,970
1640,346,971
1641,346,998
1642,346,999
1643,346,1000
1644,347,967
1645,347,968
1646,347,997
1647,347,998
1648,347,1000
1649,348,967
1650,348,968
1651,348,969
1652,348,970
1653,348,971
1654,348,972
1655,348,973
1656,348,997
1657,348,998
1658,349,967
1659,349,970
1660,349,972
1661,349,996
1662,349,998
1663,349,999
1664,349,1000
1665,349,1001
1666,350,968
1667,350,969
1668,350,970
1669,350,971
1670,350,996
1671,350,997
1672,351,969
1673,351,971
1674,351,972
1675,351,998
1676,351,999
1677,351,1000
1678,351,1001
1679,352,967
1680,352,968
1681,352,970
1682,352,971
1683,352,998
1684,352,999
1685,352,1000
1686,352,1001
1687,352,1002
1688,353,969
1689,353,970
1690,353,972
1691,353,998
1692,353,999
1693,353,1001
1694,354,968
1695,354,969
1696,354,971
1697,354,972
1698,354,998
1699,354,1000
1700,354,1001
1701,355,967
1702,355,968
1703,355,969
1704,355,970
1705,355,972
1706,355,973
1707,355,999
1708,355,1001
1709,356,969
1710,356,971
1711,356,972
1712,356,998
1713,356,1000
1714,356,1001
1715,356,1002
1716,357,967
1717,357,969
1718,357,971
1719,357,972
1720,357,973
1721,357,998
1722,357,999
1723,357,1001
1724,357,1002
1725,358,968
1726,358,971
1727,358,973
1728,358,999
1729,358,1000
1730,358,1002
1731,359,969
1732,359,970
1733,359,972
1734,359,973
1735,359,998
1736,359,1001
1737,359,1002
1738,360,968
1739,360,970
1740,360,973
1741,360,997
1742,360,998
1743,360,999
1744,360,1000
1745,360,1002
1746,361,967
1747,361,969
1748,361,970
1749,361,972
1750,361,973
1751,361,999
1752,361,1000
1753,362,968
1754,362,969
1755,362,972
1756,362,998
1757,362,1000
1758,362,1001
1759,363,968
1760,363,969
1761,363,971
1762,363,999
1763,363,1001
1764,363,1002
1765,364,968
1766,364,969
1767,364,971
1768,364,998
1769,364,999
1770,364,1000
1771,364,1002
1772,365,967
1773,365,968
1774,365,969
1775,365,972
1776,365,998
1777,365,1001
1778,365,1002
1779,366,967
1780,366,969
1781,366,970
1782,366,972
1783,366,973
1784,366,998
1785,366,999
1786,366,1000
1787,366,1001
1788,367,967
1789,367,968
1790,367,970
1791,367,973
1792,367,999
1793,367,1002
1794,368,967
1795,368,969
1796,368,970
1797,368,971
1798,368,973
1799,368,1000
1800,368,1001
1801,368,1003
1802,369,968
1803,369,971
1804,369,999
1805,369,1002
1806,370,969
1807,370,972
1808,370,973
1809,370,999
1810,370,1000
1811,370,1002
1812,371,968
1813,371,969
1814,371,970
1815,371,971
1816,371,972
1817,371,973
1818,371,999
1819,371,1000
1820,371,1001
1821,371,1002
1822,371,1003
1823,372,970
1824,372,973
1825,372,1000
1826,372,1004
1827,373,968
1828,373,969
1829,373,971
1830,373,973
1831,373,1000
1832,373,1001
1833,373,1003
1834,373,1004
1835,374,968
1836,374,970
1837,374,971
1838,374,972
1839,374,973
1840,374,1001
1841,374,1003
1842,375,967
1843,375,968
1844,375,971
1845,375,973
1846,375,1000
1847,375,1001
1848,375,1002
1849,375,1003
1850,376,967
1851,376,968
1852,376,970
1853,376,971
1854,376,973
1855,376,1001
1856,376,1002
1857,376,1003
1858,377,969
1859,377,970
1860,377,971
1861,377,974
1862,377,999
1863,377,1000
1864,377,1002
1865,378,969
1866,378,971
1867,378,972
1868,378,1001
1869,378,1003
1870,378,1004
1871,379,969
1872,379,970
1873,379,971
1874,379,972
1875,379,973
1876,379,974
1877,379,1000
1878,379,1001
1879,379,1003
1880,380,968
1881,380,969
1882,380,970
1883,380,972
1884,380,973
1885,380,974
1886,380,1001
1887,380,1002
1888,380,1003
1889,381,969
1890,381,971
1891,381,973
1892,381,974
1893,381,1000
1894,382,968
1895,382,970
1896,382,971
1897,382,973
1898,382,974
1899,382,999
1900,382,1000
1901,382,1002
1902,382,1003
1903,382,1004
1904,383,969
1905,383,971
1906,383,972
1907,383,973
1908,383,999
1909,383,1001
1910,383,1003
1911,383,1004
1912,384,970
1913,384,971
1914,384,972
1915,384,973
1916,384,1000
1917,384,1001
1918,384,1003
1919,385,969
1920,385,1001
1921,385,1002
1922,385,1004
1923,386,970
1924,386,971
1925,386,972
1926,386,973
1927,386,1000
1928,386,1003
1929,387,969
1930,387,971
1931,387,973
1932,387,1000
1933,387,1003
1934,388,969
1935,388,970
1936,388,973
1937,388,974
1938,388,1000
1939,388,1001
1940,388,1002
1941,389,968
1942,389,969
1943,389,971
1944,389,972
1945,389,973
1946,389,1000
1947,389,1002
1948,389,1003
1949,389,1004
1950,390,968
1951,390,969
1952,390,970
1953,390,972
1954,390,974
1955,390,1001
1956,390,1002
1957,390,1005
1958,391,968
1959,391,971
1960,391,974
1961,391,1001
1962,391,1003
1963,391,1004
1964,392,968
1965,392,970
1966,392,971
1967,392,1002
1968,392,1003
1969,392,1005
1970,393,968
1971,393,969
1972,393,971
1973,393,972
1974,393,974
1975,393,1001
1976,393,1005
1977,394,968
1978,394,970
1979,394,971
1980,394,974
1981,394,1002
1982,394,1004
1983,394,1005
1984,395,969
1985,395,970
1986,395,971
1987,395,972
1988,395,973
1989,395,1001
1990,395,1003
1991,395,1004
1992,395,1005
1993,396,969
1994,396,971
1995,396,972
1996,396,975
1997,396,1002
1998,396,1004
1999,396,1005
2000,397,969
2001,397,971
2002,397,973
2003,397,974
2004,397,1001
2005,397,1004
2006,398,969
2007,398,970
2008,398,971
2009,398,973
2010,398,1002
2011,398,1003
2012,398,1005
2013,399,968
2014,399,970
2015,399,972
2016,399,973
2017,399,1002
2018,399,1004
2019,399,1005
2020,400,969
2021,400,970
2022,400,972
2023,400,974
2024,400,1003
2025,400,1004
2026,400,1006
2027,401,968
2028,401,972
2029,401,1002
2030,401,1005
2031,402,969
2032,402,971
2033,402,974
2034,402,1003
2035,402,1004
2036,402,1005
