,xVal,yVal
1397,149,1223
1398,149,1224
1399,150,962
1400,150,964
1401,150,965
1402,150,981
1403,150,983
1404,150,984
1405,150,1221
1406,150,1223
1407,151,962
1408,151,964
1409,151,965
1410,151,981
1411,151,982
1412,151,983
1413,151,984
1414,151,1220
1415,151,1222
1416,151,1224
1417,151,1225
1418,152,963
1419,152,982
1420,152,1222
1421,152,1223
1422,152,1224
1423,152,1225
1424,153,962
1425,153,963
1426,153,965
1427,153,983
1428,153,984
1429,153,1223
1430,153,1224
1431,154,961
1432,154,962
1433,154,963
1434,154,964
1435,154,965
1436,154,983
1437,154,984
1438,155,963
1439,155,983
1440,155,984
1441,156,962
1442,156,964
1443,156,982
1444,157,961
1445,157,962
1446,157,965
1447,158,962
1448,158,963
1449,158,965
1450,159,964
1451,159,983
1452,160,963
1453,160,964
1454,160,984
1455,161,984
1456,162,963
1457,162,965
1458,162,984
1459,163,963
1460,163,964
1461,164,963
1462,164,964
1463,164,965
1464,164,983
1465,165,963
1466,165,964
1467,165,983
1468,165,984
1469,166,965
1470,166,982
1471,167,964
1472,167,982
1473,167,983
1474,167,984
1475,168,963
1476,168,964
1477,168,983
1478,168,984
1479,168,985
1480,169,962
1481,169,963
1482,169,983
1483,170,964
1484,170,965
1485,170,967
1486,170,983
1487,170,984
1488,171,963
1489,171,966
1490,171,984
1491,171,986
1492,172,964
1493,172,965
1494,172,982
1495,172,983
1496,172,985
1497,172,986
1498,173,963
1499,173,964
1500,173,965
1501,173,984
1502,173,986
1503,174,965
1504,174,966
1505,174,985
1506,175,964
1507,175,966
1508,175,983
1509,175,984
1510,175,986
1511,176,963
1512,176,966
1513,176,967
1514,176,985
1515,177,964
1516,177,965
1517,177,984
1518,178,963
1519,178,964
1520,178,966
1521,178,985
1522,179,963
1523,179,964
1524,179,965
1525,179,966
1526,179,985
1527,180,963
1528,180,966
1529,180,986
1530,181,964
1531,181,965
1532,181,967
1533,181,985
1534,182,966
1535,182,984
1536,182,986
1537,183,964
1538,183,965
1539,183,985
1540,184,964
1541,184,966
1542,184,985
1543,185,966
1544,185,967
1545,185,984
1546,185,985
1547,186,963
1548,186,964
1549,186,966
1550,186,984
1551,186,986
1552,187,963
1553,187,964
1554,187,965
1555,187,967
1556,187,984
1557,188,966
1558,188,984
1559,188,985
1560,188,986
1561,188,987
1562,189,964
1563,189,965
1564,189,967
1565,190,966
1566,190,967
1567,190,985
1568,190,986
1569,190,987
1570,191,966
1571,191,986
1572,191,987
1573,192,965
1574,192,966
1575,192,985
1576,193,965
1577,193,967
1578,193,985
1579,193,986
1580,193,987
1581,194,965
1582,194,986
1583,195,966
1584,195,986
1585,195,987
1586,197,965
1587,197,967
1588,197,968
1589,197,986
1590,198,966
1591,198,967
1592,198,987
1593,198,988
1594,199,965
1595,199,967
1596,199,968
1597,199,986
1598,199,987
1599,200,964
1600,200,966
1601,200,967
1602,200,968
